,Datetime,Open,High,Low,Close,Volume
198,2025-05-02 04:00:00,1847.74,1851.79,1839.4,1841.49,11583.4798
199,2025-05-02 05:00:00,1841.5,1844.2,1828.96,1832.1,20150.662
200,2025-05-02 06:00:00,1832.1,1837.4,1828.48,1832.23,16923.6916
201,2025-05-02 07:00:00,1832.24,1832.24,1816.22,1816.32,28542.2203
202,2025-05-02 08:00:00,1816.33,1826.59,1813.0,1823.69,22376.3612
203,2025-05-02 09:00:00,1823.7,1827.3,1820.44,1820.68,10770.9761
204,2025-05-02 10:00:00,1820.68,1835.18,1820.68,1829.28,19467.5016
205,2025-05-02 11:00:00,1829.29,1835.53,1829.28,1833.39,11591.0646
206,2025-05-02 12:00:00,1833.39,1844.73,1823.34,1841.23,35038.5575
207,2025-05-02 13:00:00,1841.22,1842.53,1829.25,1833.82,22055.7387
208,2025-05-02 14:00:00,1833.82,1851.87,1833.82,1848.9,36068.8917
209,2025-05-02 15:00:00,1848.91,1854.5,1832.27,1841.12,22557.6598
210,2025-05-02 16:00:00,1841.11,1871.0,1841.11,1852.51,47047.9849
211,2025-05-02 17:00:00,1852.51,1853.5,1841.7,1852.35,15248.7294
212,2025-05-02 18:00:00,1852.36,1855.63,1845.1,1849.02,9396.1137
213,2025-05-02 19:00:00,1849.01,1850.85,1831.7,1839.68,14707.6115
214,2025-05-02 20:00:00,1839.68,1848.5,1835.65,1846.81,8167.1132
215,2025-05-02 21:00:00,1846.81,1846.81,1833.1,1837.54,8397.3104
216,2025-05-02 22:00:00,1837.54,1839.97,1832.49,1835.2,7737.4776
217,2025-05-02 23:00:00,1835.2,1842.72,1834.48,1842.2,6400.1748
218,2025-05-03 00:00:00,1842.2,1843.05,1836.2,1838.7,5360.3449
219,2025-05-03 01:00:00,1838.69,1840.5,1826.58,1829.0,10615.558
220,2025-05-03 02:00:00,1829.0,1835.74,1828.73,1833.89,7846.7596
221,2025-05-03 03:00:00,1833.9,1837.99,1831.2,1834.8,4783.0833
222,2025-05-03 04:00:00,1834.8,1839.3,1833.8,1838.0,5000.678
223,2025-05-03 05:00:00,1838.0,1838.5,1833.0,1833.19,3554.8805
224,2025-05-03 06:00:00,1833.18,1833.42,1824.6,1827.28,11042.9715
225,2025-05-03 07:00:00,1827.28,1829.89,1825.0,1826.41,6601.6865
226,2025-05-03 08:00:00,1826.41,1830.0,1822.32,1825.3,9124.9018
227,2025-05-03 09:00:00,1825.31,1828.41,1819.26,1827.4,10881.2393
228,2025-05-03 10:00:00,1827.4,1830.51,1817.63,1819.45,10716.467
229,2025-05-03 11:00:00,1819.44,1826.37,1818.74,1824.1,8157.7529
230,2025-05-03 12:00:00,1824.1,1832.78,1823.74,1829.59,8992.8253
231,2025-05-03 13:00:00,1829.59,1836.9,1829.08,1835.2,9214.2842
232,2025-05-03 14:00:00,1835.19,1837.41,1831.59,1835.2,8904.7194
233,2025-05-03 15:00:00,1835.2,1840.12,1833.14,1834.53,8295.0092
234,2025-05-03 16:00:00,1834.53,1835.29,1823.42,1827.11,9057.7369
235,2025-05-03 17:00:00,1827.11,1827.56,1810.0,1824.0,22154.1126
236,2025-05-03 18:00:00,1824.0,1830.95,1822.61,1825.93,8347.5701
237,2025-05-03 19:00:00,1825.92,1839.2,1824.61,1838.21,8091.0385
238,2025-05-03 20:00:00,1838.21,1839.67,1834.65,1838.68,5463.1561
239,2025-05-03 21:00:00,1838.68,1848.6,1836.23,1841.1,11827.7042
240,2025-05-03 22:00:00,1841.1,1845.54,1835.78,1842.84,7970.7762
241,2025-05-03 23:00:00,1842.84,1843.37,1828.4,1833.52,11746.3419
242,2025-05-04 00:00:00,1833.52,1842.0,1830.0,1836.6,10037.8724
243,2025-05-04 01:00:00,1836.59,1841.08,1829.31,1837.54,9602.1704
244,2025-05-04 02:00:00,1837.53,1849.6,1830.22,1834.15,11161.357
245,2025-05-04 03:00:00,1834.15,1836.45,1826.44,1831.89,6607.9896
246,2025-05-04 04:00:00,1831.89,1837.29,1829.66,1830.63,4712.6564
247,2025-05-04 05:00:00,1830.63,1849.95,1830.2,1845.74,15534.0537
248,2025-05-04 06:00:00,1845.73,1849.2,1839.5,1845.49,11015.1694
249,2025-05-04 07:00:00,1845.5,1846.59,1836.31,1840.98,8031.4109
250,2025-05-04 08:00:00,1840.98,1841.34,1829.74,1831.05,10478.0577
251,2025-05-04 09:00:00,1831.05,1832.5,1823.26,1827.59,13834.6531
252,2025-05-04 10:00:00,1827.6,1829.4,1822.0,1827.36,7986.6184
253,2025-05-04 11:00:00,1827.36,1836.23,1825.64,1827.6,9350.2123
254,2025-05-04 12:00:00,1827.61,1833.99,1827.04,1830.18,7309.3971
255,2025-05-04 13:00:00,1830.19,1833.12,1818.57,1825.12,11524.3351
256,2025-05-04 14:00:00,1825.11,1832.4,1824.47,1831.21,6669.6211
257,2025-05-04 15:00:00,1831.21,1833.65,1825.7,1830.8,8640.3674
258,2025-05-04 16:00:00,1830.81,1833.49,1822.93,1827.93,11277.0418
259,2025-05-04 17:00:00,1827.93,1831.5,1822.08,1827.85,6747.0071
260,2025-05-04 18:00:00,1827.85,1830.92,1825.58,1825.85,4454.9206
261,2025-05-04 19:00:00,1825.85,1831.0,1824.71,1828.4,4254.0937
262,2025-05-04 20:00:00,1828.4,1842.15,1828.06,1836.17,10357.8408
263,2025-05-04 21:00:00,1836.16,1837.22,1831.91,1835.41,4145.5486
264,2025-05-04 22:00:00,1835.4,1835.4,1811.7,1818.02,19106.0932
265,2025-05-04 23:00:00,1818.01,1819.03,1803.0,1808.86,25415.8686
266,2025-05-05 00:00:00,1808.86,1818.49,1806.5,1816.07,11876.9894
267,2025-05-05 01:00:00,1816.07,1817.26,1781.85,1791.82,36755.4852
268,2025-05-05 02:00:00,1791.81,1802.69,1781.9,1799.41,28067.3768
269,2025-05-05 03:00:00,1799.4,1800.99,1793.35,1794.51,9315.3528
270,2025-05-05 04:00:00,1794.5,1805.38,1792.82,1804.91,10653.2862
271,2025-05-05 05:00:00,1804.9,1818.53,1801.27,1816.51,11050.379
272,2025-05-05 06:00:00,1816.51,1821.64,1811.97,1820.36,14976.9389
273,2025-05-05 07:00:00,1820.37,1829.84,1816.74,1826.59,12760.8322
274,2025-05-05 08:00:00,1826.58,1831.55,1823.6,1828.4,10469.1574
275,2025-05-05 09:00:00,1828.39,1830.51,1822.57,1823.33,9896.325
276,2025-05-05 10:00:00,1823.33,1824.0,1798.3,1804.76,24151.9789
277,2025-05-05 11:00:00,1804.77,1810.84,1799.0,1804.63,13390.1617
278,2025-05-05 12:00:00,1804.64,1809.4,1799.81,1805.65,12346.4893
