Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VCB,56300,02/06/2025,14:23:56,56200,56300,56200,56300,11100
VCB,56300,02/06/2025,14:23:56,56200,56300,56200,56300,11100
VCB,56300,02/06/2025,14:24:58,56300,56300,56200,56300,16700
VCB,56300,02/06/2025,14:24:58,56300,56300,56200,56300,16700
VCB,56300,02/06/2025,14:24:58,56300,56300,56200,56300,16700
VCB,56300,02/06/2025,14:25:57,56300,56300,56200,56300,4200
VCB,56300,02/06/2025,14:25:57,56300,56300,56200,56300,4200
VCB,56300,02/06/2025,14:25:57,56300,56300,56200,56300,4200
VCB,56300,02/06/2025,14:26:59,56300,56300,56200,56300,28000
VCB,56300,02/06/2025,14:26:59,56300,56300,56200,56300,28000
VCB,56300,02/06/2025,14:26:59,56300,56300,56200,56300,28000
VCB,56200,02/06/2025,14:27:59,56300,56300,56200,56200,15100
VCB,56200,02/06/2025,14:27:59,56300,56300,56200,56200,15100
VCB,56200,02/06/2025,14:27:59,56300,56300,56200,56200,15100
VCB,56300,02/06/2025,14:28:53,56300,56300,56200,56300,6200
VCB,56300,02/06/2025,14:28:53,56300,56300,56200,56300,6200
VCB,56300,02/06/2025,14:28:53,56300,56300,56200,56300,6200
VCB,56300,02/06/2025,14:29:57,56200,56300,56200,56300,49400
VCB,56300,02/06/2025,14:29:57,56200,56300,56200,56300,49400
VCB,56300,02/06/2025,14:29:57,56200,56300,56200,56300,49400
VCB,56200,02/06/2025,14:45:00,56200,56200,56200,56200,117200
VCB,56200,02/06/2025,14:45:00,56200,56200,56200,56200,117200
VCB,56200,02/06/2025,14:45:00,56200,56200,56200,56200,117200
VCB,56600,03/06/2025,09:15:50,56700,56700,56500,56600,59100
VCB,56600,03/06/2025,09:15:50,56700,56700,56500,56600,59100
VCB,56600,03/06/2025,09:15:50,56700,56700,56500,56600,59100
VCB,56600,03/06/2025,09:16:59,56600,56700,56500,56600,27700
VCB,56600,03/06/2025,09:16:59,56600,56700,56500,56600,27700
VCB,56600,03/06/2025,09:16:59,56600,56700,56500,56600,27700
VCB,56600,03/06/2025,09:17:57,56600,56600,56600,56600,2400
VCB,56600,03/06/2025,09:17:57,56600,56600,56600,56600,2400
VCB,56600,03/06/2025,09:17:57,56600,56600,56600,56600,2400
VCB,56600,03/06/2025,09:18:50,56600,56700,56600,56600,6500
VCB,56600,03/06/2025,09:18:50,56600,56700,56600,56600,6500
VCB,56600,03/06/2025,09:18:50,56600,56700,56600,56600,6500
VCB,56700,03/06/2025,09:19:52,56700,56700,56600,56700,8500
VCB,56700,03/06/2025,09:19:52,56700,56700,56600,56700,8500
VCB,56700,03/06/2025,09:19:52,56700,56700,56600,56700,8500
VCB,56700,03/06/2025,09:20:57,56600,56700,56600,56700,3400
VCB,56700,03/06/2025,09:20:57,56600,56700,56600,56700,3400
VCB,56700,03/06/2025,09:20:57,56600,56700,56600,56700,3400
VCB,56600,03/06/2025,09:21:55,56600,56700,56600,56600,10100
VCB,56600,03/06/2025,09:21:55,56600,56700,56600,56600,10100
VCB,56600,03/06/2025,09:21:55,56600,56700,56600,56600,10100
VCB,56600,03/06/2025,09:22:50,56600,56600,56600,56600,36900
VCB,56600,03/06/2025,09:22:50,56600,56600,56600,56600,36900
VCB,56600,03/06/2025,09:22:50,56600,56600,56600,56600,36900
VCB,56500,03/06/2025,09:23:34,56500,56500,56500,56500,11100
VCB,56500,03/06/2025,09:23:34,56500,56500,56500,56500,11100
VCB,56500,03/06/2025,09:23:34,56500,56500,56500,56500,11100
VCB,56500,03/06/2025,09:24:55,56500,56500,56500,56500,400
VCB,56500,03/06/2025,09:24:55,56500,56500,56500,56500,400
VCB,56500,03/06/2025,09:24:55,56500,56500,56500,56500,400
VCB,56500,03/06/2025,09:25:51,56500,56600,56500,56500,15800
VCB,56500,03/06/2025,09:25:51,56500,56600,56500,56500,15800
VCB,56500,03/06/2025,09:25:51,56500,56600,56500,56500,15800
VCB,56500,03/06/2025,09:26:54,56500,56500,56500,56500,1500
VCB,56500,03/06/2025,09:26:54,56500,56500,56500,56500,1500
VCB,56500,03/06/2025,09:26:54,56500,56500,56500,56500,1500
VCB,56500,03/06/2025,09:27:55,56400,56500,56400,56500,2100
VCB,56500,03/06/2025,09:27:55,56400,56500,56400,56500,2100
VCB,56500,03/06/2025,09:27:55,56400,56500,56400,56500,2100
VCB,56400,03/06/2025,09:28:32,56500,56500,56400,56400,3900
VCB,56400,03/06/2025,09:28:32,56500,56500,56400,56400,3900
VCB,56400,03/06/2025,09:28:32,56500,56500,56400,56400,3900
VCB,56400,03/06/2025,09:29:53,56400,56400,56400,56400,23300
VCB,56400,03/06/2025,09:29:53,56400,56400,56400,56400,23300
VCB,56400,03/06/2025,09:29:53,56400,56400,56400,56400,23300
VCB,56500,03/06/2025,09:30:55,56500,56500,56500,56500,8200
VCB,56500,03/06/2025,09:30:55,56500,56500,56500,56500,8200
VCB,56500,03/06/2025,09:30:55,56500,56500,56500,56500,8200
